"","Year","District.Code","District.Name","Neighborhood.Code","Neighborhood.Name","Age","Death_Number","By_Age_Immigrants","By_Age_Emigrants","Spain","Italy","Colombia","Venezuela","Pakistan","France","Morocco","United Kingdom","India","Germany","Bangladesh","Philippines","United States","China","Peru","Argentina","Brasil","Dominican Republic","Honduras","Population_Number_Male","Population_Number_Female","By_Sex_Immigrants_Male","By_Sex_Immigrants_Female","By_Sex_Emigrants_Male","By_Sex_Emigrants_Female","Birth_Number_Male","Birth_Number_Female","Unemployment_Number_Male_Registered unemployed","Unemployment_Number_Male_Unemployment demand","Unemployment_Number_Female_Registered unemployed","Unemployment_Number_Female_Unemployment demand"
"46",2017,8,"Nou Barris",51,"Verdun","0-4",0,33,19,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,56.4,52.6,305,361,203,201,50,48,4254,962,5137,1252
"47",2017,8,"Nou Barris",52,"la Prosperitat","0-4",0,56,44,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,108,104.5,571,635,342,379,127,124,7962,1945,9771,2474
"48",2017,8,"Nou Barris",53,"la Trinitat Nova","0-4",0,22,25,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,221,237,156,167,38,28,3861,720,4047,886
"49",2017,8,"Nou Barris",55,"Ciutat Meridiana","0-4",0,47,25,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,60.2,56.2,409,429,230,204,49,53,5593,1023,5782,1250
"50",2017,9,"Sant Andreu",57,"la Trinitat Vella","0-4",0,40,29,174,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,52,368,307,237,223,65,55,5181,950,5357,1157
"51",2017,9,"Sant Andreu",59,"el Bon Pastor","0-4",0,31,29,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,63.4,307,351,215,192,66,60,3498,1048,4936,1230
"52",2017,9,"Sant Andreu",60,"Sant Andreu","0-4",0,90,70,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,241.25,939,1026,667,739,227,232,14145,4236,19969,4974
"53",2017,9,"Sant Andreu",61,"la Sagrera","0-4",2,45,43,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.2,115.8,643,711,372,461,132,100,6864,1968,8953,2518
"54",2017,9,"Sant Andreu",62,"el Congrés i els Indians","0-4",1,17,19,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2,53.25,297,306,191,205,61,61,3340,959,4359,1225
"55",2017,9,"Sant Andreu",63,"Navas","0-4",0,26,32,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.8,82.2,501,487,300,323,98,83,5165,1461,6699,1883
"56",2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","0-4",0,88,75,858,181,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,145.2,146.4,1075,1126,595,675,148,159,11005,2848,11995,3261
"57",2017,10,"Sant Martí",65,"el Clot","0-4",0,43,25,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.8,100.2,651,651,373,374,125,82,7101,1963,8545,2136
"58",2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","0-4",0,30,26,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74.5,490,469,210,226,79,74,3310,993,4242,993
